New Particle?	Particle Number	Upper X	Upper Y	Upper Z	Center X	Center Y	Center Z	Lower X	Lower Y	Lower Z	Chromosome Number	Damage Type	N Direct	N In-direct	BD	SSB	DSB
N	0	-0.464750	4.120756	0.396298	-0.464537	4.121302	0.397030	-0.464963	4.120209	0.395566	24	Hybrid	1	1	0	2	1
N	0	-0.465455	4.122505	0.400358	-0.465416	4.122667	0.401195	-0.465494	4.122342	0.399522	24	Direct	2	0	0	2	1
N	0	-0.662353	4.114157	0.836913	-0.662275	4.114157	0.837132	-0.662430	4.114156	0.836694	24	Hybrid	1	1	0	2	0
N	0	-0.515044	4.121506	0.509987	-0.515044	4.121506	0.509987	-0.515044	4.121506	0.509987	24	In-direct	0	1	0	1	0
N	0	-0.511616	4.123486	0.506077	-0.511616	4.123486	0.506077	-0.511616	4.123486	0.506077	24	In-direct	0	1	0	1	0
N	0	-0.511112	4.120517	0.507657	-0.510162	4.121051	0.508025	-0.512063	4.119982	0.507290	24	Direct	2	0	0	2	1
N	0	-0.510198	4.120656	0.503622	-0.510198	4.120656	0.503622	-0.510198	4.120656	0.503622	24	In-direct	0	1	0	1	0
N	0	-0.515067	4.119759	0.513981	-0.515067	4.119759	0.513981	-0.515067	4.119759	0.513981	24	Direct	1	0	0	1	0
N	0	-0.471350	4.121273	0.412990	-0.471350	4.121273	0.412990	-0.471350	4.121273	0.412990	24	Direct	1	0	0	1	0
N	0	-0.661174	4.113096	0.823371	-0.661174	4.113096	0.823371	-0.661174	4.113096	0.823371	24	Direct	1	0	0	1	0
N	0	-0.743213	4.111406	1.013787	-0.743021	4.111937	1.014359	-0.743406	4.110876	1.013215	25	Hybrid	1	1	0	2	0
N	0	-0.744449	4.106516	1.006207	-0.744449	4.106516	1.006207	-0.744449	4.106516	1.006207	25	In-direct	0	1	0	1	0
N	0	-0.746337	4.112374	1.015426	-0.746337	4.112374	1.015426	-0.746337	4.112374	1.015426	25	In-direct	0	1	0	1	0
N	0	-0.754611	4.114191	1.029983	-0.754611	4.114191	1.029983	-0.754611	4.114191	1.029983	25	In-direct	0	1	0	1	0
N	0	-0.749983	4.110163	1.028445	-0.749983	4.110163	1.028445	-0.749983	4.110163	1.028445	25	Direct	1	0	1	0	0
N	0	-0.922381	4.104547	1.410962	-0.921671	4.104887	1.410976	-0.923091	4.104208	1.410949	28	Direct	2	0	1	1	0
N	0	-0.922594	4.102781	1.406948	-0.922594	4.102781	1.406948	-0.922594	4.102781	1.406948	28	In-direct	0	1	0	1	0
N	0	-1.028547	4.097631	1.640366	-1.028547	4.097631	1.640366	-1.028547	4.097631	1.640366	28	In-direct	0	1	0	1	0
N	0	-1.028713	4.098306	1.637508	-1.028391	4.098416	1.637538	-1.029034	4.098196	1.637479	28	Direct	2	0	2	0	0
N	0	-0.923343	4.103506	1.410143	-0.923091	4.104208	1.410949	-0.923594	4.102804	1.409336	28	Direct	2	0	1	1	0
Y	1	0.874395	2.87088	-3.26707	0.874769	2.87089	-3.26662	0.87402	2.87086	-3.26751	1	In-direct	0	2	0	2	0
N	1	0.872198	2.870706	-3.267987	0.872198	2.870706	-3.267987	0.872198	2.870706	-3.267987	1	Direct	1	0	0	1	0
N	1	0.883373	2.865400	-3.246882	0.883373	2.865400	-3.246882	0.883373	2.865400	-3.246882	1	Direct	1	0	0	1	0
N	1	1.024470	2.824855	-3.037090	1.024470	2.824855	-3.037090	1.024470	2.824855	-3.037090	1	Direct	1	0	0	1	0
N	1	1.029016	2.824140	-3.035891	1.029016	2.824140	-3.035891	1.029016	2.824140	-3.035891	1	Direct	1	0	0	1	0
N	1	1.023261	2.824720	-3.038842	1.023261	2.824720	-3.038842	1.023261	2.824720	-3.038842	1	In-direct	0	1	0	1	0
N	1	1.022326	2.830385	-3.050902	1.022326	2.830385	-3.050902	1.022326	2.830385	-3.050902	1	In-direct	0	1	0	1	0
N	1	1.465564	2.698532	-2.376308	1.466014	2.698813	-2.375939	1.465115	2.698250	-2.376678	3	Hybrid	2	1	0	3	1
N	1	1.470320	2.696858	-2.369291	1.470540	2.697240	-2.369118	1.470100	2.696477	-2.369465	3	In-direct	0	2	0	2	1
N	1	1.613866	2.655028	-2.154288	1.614586	2.655084	-2.154218	1.613146	2.654972	-2.154357	3	In-direct	0	2	0	2	1
N	1	1.383700	2.724307	-2.498674	1.383807	2.724405	-2.498344	1.383593	2.724209	-2.499003	3	Hybrid	1	1	0	2	0
N	1	1.626457	2.649382	-2.137440	1.626567	2.649414	-2.137270	1.626346	2.649349	-2.137609	3	Direct	2	0	0	2	0
N	1	1.333215	2.739063	-2.574061	1.333499	2.739634	-2.573975	1.332931	2.738491	-2.574148	3	In-direct	0	2	1	1	0
N	1	1.328434	2.739212	-2.581637	1.328434	2.739212	-2.581637	1.328434	2.739212	-2.581637	3	In-direct	0	1	0	1	0
N	1	1.338996	2.738091	-2.567621	1.338996	2.738091	-2.567621	1.338996	2.738091	-2.567621	3	In-direct	0	1	0	1	0
N	1	1.343175	2.736670	-2.560948	1.343175	2.736670	-2.560948	1.343175	2.736670	-2.560948	3	In-direct	0	1	0	1	0
N	1	1.338062	2.731984	-2.563573	1.338062	2.731984	-2.563573	1.338062	2.731984	-2.563573	3	In-direct	0	1	0	1	0
N	1	1.381541	2.729342	-2.502407	1.381541	2.729342	-2.502407	1.381541	2.729342	-2.502407	3	In-direct	0	1	0	1	0
N	1	1.460834	2.698618	-2.388280	1.460834	2.698618	-2.388280	1.460834	2.698618	-2.388280	3	Direct	1	0	0	1	0
N	1	1.460387	2.700541	-2.385009	1.460387	2.700541	-2.385009	1.460387	2.700541	-2.385009	3	Direct	1	0	0	1	0
N	1	1.464815	2.695265	-2.376088	1.464815	2.695265	-2.376088	1.464815	2.695265	-2.376088	3	In-direct	0	1	0	1	0
N	1	1.430045	2.713941	-2.383918	1.430045	2.713941	-2.383918	1.430045	2.713941	-2.383918	3	In-direct	0	1	0	1	0
N	1	1.630883	2.648366	-2.132973	1.630883	2.648366	-2.132973	1.630883	2.648366	-2.132973	3	In-direct	0	1	0	1	0
