New Particle?	Particle Number	Upper X	Upper Y	Upper Z	Center X	Center Y	Center Z	Lower X	Lower Y	Lower Z	Chromosome Number	Damage Type	N Direct	N In-direct	BD	SSB	DSB
N	2	-2.040673	-3.274652	1.153349	-2.040673	-3.274652	1.153349	-2.040673	-3.274652	1.153349	17	Direct	1	0	0	1	0
N	2	-2.266959	-2.870525	1.370667	-2.266506	-2.869452	1.371674	-2.267412	-2.871598	1.369661	20	Hybrid	2	2	0	4	1
N	2	-2.393019	-2.640782	1.499070	-2.392076	-2.640427	1.499834	-2.393963	-2.641136	1.498306	20	Hybrid	1	2	0	3	1
N	2	-2.260832	-2.893555	1.351096	-2.260178	-2.892908	1.351861	-2.261485	-2.894202	1.350332	20	In-direct	0	2	0	2	0
N	2	-2.266354	-2.880608	1.364550	-2.266354	-2.880608	1.364550	-2.266354	-2.880608	1.364550	20	In-direct	0	1	0	1	0
N	2	-2.263800	-2.873330	1.365582	-2.263800	-2.873330	1.365582	-2.263800	-2.873330	1.365582	20	In-direct	0	1	0	1	0
N	2	-2.267222	-2.870285	1.370667	-2.266877	-2.869140	1.371674	-2.267567	-2.871431	1.369661	20	Hybrid	3	1	0	4	1
N	2	-2.366089	-2.666673	1.482666	-2.366089	-2.666673	1.482666	-2.366089	-2.666673	1.482666	20	In-direct	0	1	0	1	0
N	2	-2.387020	-2.657504	1.486081	-2.387020	-2.657504	1.486081	-2.387020	-2.657504	1.486081	20	In-direct	0	1	0	1	0
N	2	-2.388086	-2.646697	1.495164	-2.388086	-2.646697	1.495164	-2.388086	-2.646697	1.495164	20	In-direct	0	1	0	1	0
N	2	-2.390164	-2.642456	1.495363	-2.390164	-2.642456	1.495363	-2.390164	-2.642456	1.495363	20	Direct	1	0	0	1	0
N	2	-2.359452	-2.660356	1.491559	-2.359452	-2.660356	1.491559	-2.359452	-2.660356	1.491559	20	In-direct	0	1	0	1	0
N	2	-2.358579	-2.657910	1.486581	-2.358579	-2.657910	1.486581	-2.358579	-2.657910	1.486581	20	In-direct	0	1	0	1	0
N	2	-2.357875	-2.654843	1.486637	-2.357875	-2.654843	1.486637	-2.357875	-2.654843	1.486637	20	In-direct	0	1	0	1	0
N	2	-2.344258	-2.666441	1.496101	-2.344258	-2.666441	1.496101	-2.344258	-2.666441	1.496101	20	In-direct	0	1	0	1	0
N	2	-2.383611	-2.652817	1.483556	-2.383611	-2.652817	1.483556	-2.383611	-2.652817	1.483556	20	In-direct	0	1	1	0	0
N	2	-2.866822	-1.803872	1.957998	-2.866186	-1.803105	1.959097	-2.867458	-1.804640	1.956899	29	Hybrid	2	2	2	2	1
N	2	-2.875844	-1.789064	1.966104	-2.875486	-1.788568	1.966741	-2.876203	-1.789560	1.965468	29	Hybrid	1	2	1	2	0
N	2	-2.864637	-1.809390	1.954772	-2.864637	-1.809390	1.954772	-2.864637	-1.809390	1.954772	29	In-direct	0	1	0	1	0
N	2	-2.866389	-1.812529	1.950705	-2.866389	-1.812529	1.950705	-2.866389	-1.812529	1.950705	29	In-direct	0	1	0	1	0
N	2	-2.854986	-1.771828	1.996845	-2.854986	-1.771828	1.996845	-2.854986	-1.771828	1.996845	29	In-direct	0	1	0	1	0
N	2	-2.840605	-1.769778	2.006545	-2.840605	-1.769778	2.006545	-2.840605	-1.769778	2.006545	29	In-direct	0	1	0	1	0
N	2	-2.851342	-1.769057	2.003562	-2.851342	-1.769057	2.003562	-2.851342	-1.769057	2.003562	29	Direct	1	0	0	1	0
N	2	-2.911400	-1.731724	1.996665	-2.911400	-1.731724	1.996665	-2.911400	-1.731724	1.996665	29	In-direct	0	1	0	1	0
N	2	-2.903808	-1.738014	1.997542	-2.903808	-1.738014	1.997542	-2.903808	-1.738014	1.997542	29	In-direct	0	1	0	1	0
N	2	-2.913394	-1.722373	2.001713	-2.913394	-1.722373	2.001713	-2.913394	-1.722373	2.001713	29	In-direct	0	1	0	1	0
N	2	-2.589669	-2.289434	1.692146	-2.589162	-2.289101	1.692592	-2.590176	-2.289768	1.691700	31	Hybrid	1	1	0	2	0
N	2	-2.594694	-2.289174	1.688421	-2.594694	-2.289174	1.688421	-2.594694	-2.289174	1.688421	31	In-direct	0	1	0	1	0
N	2	-2.565874	-2.333891	1.665172	-2.565874	-2.333891	1.665172	-2.565874	-2.333891	1.665172	31	In-direct	0	1	0	1	0
N	2	-2.565083	-2.333465	1.665601	-2.565083	-2.333465	1.665601	-2.565083	-2.333465	1.665601	31	In-direct	0	1	0	1	0
N	2	-2.647245	-2.195037	1.741631	-2.647245	-2.195037	1.741631	-2.647245	-2.195037	1.741631	31	Direct	1	0	0	1	0
N	2	-2.650060	-2.192004	1.747506	-2.650060	-2.192004	1.747506	-2.650060	-2.192004	1.747506	31	In-direct	0	1	0	1	0
N	2	-2.651306	-2.176966	1.750691	-2.651306	-2.176966	1.750691	-2.651306	-2.176966	1.750691	31	Direct	1	0	0	1	0
N	2	-3.311752	-0.995785	2.382934	-3.311571	-0.994579	2.383357	-3.311934	-0.996991	2.382512	35	Hybrid	1	2	0	3	1
N	2	-3.594320	-0.476758	2.638064	-3.593716	-0.476172	2.638396	-3.594925	-0.477344	2.637732	35	Hybrid	2	1	1	2	1
N	2	-3.526259	-0.604269	2.576071	-3.525878	-0.603978	2.576591	-3.526639	-0.604560	2.575552	35	In-direct	0	2	0	2	1
N	2	-3.532056	-0.591213	2.582286	-3.531173	-0.591211	2.582475	-3.532940	-0.591216	2.582098	35	Hybrid	1	1	0	2	1
N	2	-3.194198	-1.184755	2.315964	-3.194178	-1.184221	2.316010	-3.194218	-1.185290	2.315917	35	In-direct	0	2	1	1	0
N	2	-3.318052	-0.982523	2.382050	-3.318052	-0.982523	2.382050	-3.318052	-0.982523	2.382050	35	In-direct	0	1	0	1	0
N	2	-3.318700	-0.980835	2.386656	-3.318700	-0.980835	2.386656	-3.318700	-0.980835	2.386656	35	In-direct	0	1	0	1	0
N	2	-3.258649	-1.098228	2.330674	-3.258649	-1.098228	2.330674	-3.258649	-1.098228	2.330674	35	In-direct	0	1	0	1	0
N	2	-3.523508	-0.603601	2.578122	-3.523508	-0.603601	2.578122	-3.523508	-0.603601	2.578122	35	In-direct	0	1	0	1	0
N	2	-3.523974	-0.607208	2.576131	-3.523974	-0.607208	2.576131	-3.523974	-0.607208	2.576131	35	In-direct	0	1	0	1	0
N	2	-3.534844	-0.585071	2.584892	-3.534844	-0.585071	2.584892	-3.534844	-0.585071	2.584892	35	Direct	1	0	0	1	0
N	2	-3.520086	-0.600257	2.578631	-3.520086	-0.600257	2.578631	-3.520086	-0.600257	2.578631	35	In-direct	0	1	0	1	0
N	2	-3.589543	-0.485710	2.636816	-3.589543	-0.485710	2.636816	-3.589543	-0.485710	2.636816	35	In-direct	0	1	0	1	0
N	2	-3.594168	-0.479431	2.636529	-3.594168	-0.479431	2.636529	-3.594168	-0.479431	2.636529	35	In-direct	0	1	0	1	0
N	2	-3.308508	-1.001023	2.378595	-3.308508	-1.001023	2.378595	-3.308508	-1.001023	2.378595	35	Direct	1	0	1	0	0
N	2	-3.520375	-0.610007	2.574339	-3.520375	-0.610007	2.574339	-3.520375	-0.610007	2.574339	35	Direct	1	0	1	0	0
N	2	-3.591636	-0.481662	2.635410	-3.591636	-0.481662	2.635410	-3.591636	-0.481662	2.635410	35	Direct	1	0	1	0	0
Y	3	1.99522	3.50219	-2.06669	1.99577	3.50254	-2.06582	1.99467	3.50185	-2.06756	3	Hybrid	2	1	0	3	1
N	3	1.445726	3.470963	-2.632585	1.445756	3.471553	-2.632581	1.445695	3.470373	-2.632589	3	In-direct	0	2	0	2	1
N	3	1.975825	3.479893	-2.073674	1.975907	3.480688	-2.073277	1.975744	3.479098	-2.074071	3	Hybrid	1	1	0	2	1
N	3	1.992051	3.507935	-2.070148	1.992655	3.508309	-2.069918	1.991446	3.507561	-2.070379	3	Hybrid	2	1	2	1	0
N	3	1.347168	3.471052	-2.737151	1.347646	3.471141	-2.736426	1.346690	3.470962	-2.737875	3	In-direct	0	2	1	1	0
N	3	1.456242	3.469615	-2.622789	1.456242	3.469615	-2.622789	1.456242	3.469615	-2.622789	3	In-direct	0	1	0	1	0
N	3	1.456166	3.472717	-2.622432	1.456166	3.472717	-2.622432	1.456166	3.472717	-2.622432	3	In-direct	0	1	0	1	0
N	3	1.458248	3.472761	-2.618059	1.458248	3.472761	-2.618059	1.458248	3.472761	-2.618059	3	In-direct	0	1	0	1	0
N	3	1.460922	3.472531	-2.619011	1.460922	3.472531	-2.619011	1.460922	3.472531	-2.619011	3	In-direct	0	1	0	1	0
N	3	1.356609	3.469171	-2.727225	1.356609	3.469171	-2.727225	1.356609	3.469171	-2.727225	3	In-direct	0	1	0	1	0
N	3	1.346860	3.470390	-2.736235	1.347030	3.470962	-2.736043	1.346690	3.469817	-2.736426	3	In-direct	0	2	1	1	0
N	3	1.334376	3.471475	-2.732110	1.334376	3.471475	-2.732110	1.334376	3.471475	-2.732110	3	In-direct	0	1	0	1	0
N	3	1.767572	3.476178	-2.295877	1.767572	3.476178	-2.295877	1.767572	3.476178	-2.295877	3	In-direct	0	1	0	1	0
N	3	1.653868	3.467652	-2.416638	1.653868	3.467652	-2.416638	1.653868	3.467652	-2.416638	3	In-direct	0	1	0	1	0
N	3	1.798027	3.478669	-2.261003	1.798027	3.478669	-2.261003	1.798027	3.478669	-2.261003	3	In-direct	0	1	0	1	0
N	3	1.995388	3.503415	-2.069926	1.995388	3.503415	-2.069926	1.995388	3.503415	-2.069926	3	In-direct	0	1	0	1	0
N	3	1.997723	3.500273	-2.065417	1.997723	3.500273	-2.065417	1.997723	3.500273	-2.065417	3	Direct	1	0	0	1	0
N	3	1.992764	3.488194	-2.055838	1.992764	3.488194	-2.055838	1.992764	3.488194	-2.055838	3	In-direct	0	1	0	1	0
N	3	1.989339	3.490335	-2.065907	1.989339	3.490335	-2.065907	1.989339	3.490335	-2.065907	3	In-direct	0	1	0	1	0
N	3	1.989785	3.505887	-2.071919	1.989785	3.505887	-2.071919	1.989785	3.505887	-2.071919	3	Direct	1	0	0	1	0
N	3	1.981486	3.479292	-2.071643	1.981486	3.479292	-2.071643	1.981486	3.479292	-2.071643	3	In-direct	0	1	0	1	0
N	3	1.983927	3.485891	-2.072577	1.983927	3.485891	-2.072577	1.983927	3.485891	-2.072577	3	In-direct	0	1	0	1	0
N	3	1.653774	3.474335	-2.413640	1.653774	3.474335	-2.413640	1.653774	3.474335	-2.413640	3	Direct	1	0	1	0	0
N	3	1.981564	3.487889	-2.072352	1.981564	3.487889	-2.072352	1.981564	3.487889	-2.072352	3	Direct	1	0	1	0	0
N	3	2.582841	3.489397	-1.428191	2.582841	3.489397	-1.428191	2.582841	3.489397	-1.428191	12	In-direct	0	1	0	1	0
Y	4	-1.31344	3.68496	-0.168633	-1.31288	3.68529	-0.168162	-1.314	3.68463	-0.169105	16	In-direct	0	2	0	2	1
N	4	-0.843181	3.039664	0.178780	-0.843063	3.040496	0.179599	-0.843298	3.038832	0.177960	16	Hybrid	2	1	0	3	0
N	4	-1.299299	3.667729	-0.159664	-1.299255	3.668548	-0.159315	-1.299344	3.666909	-0.160012	16	Hybrid	1	1	0	2	0
N	4	-1.459525	3.883421	-0.275265	-1.458958	3.883699	-0.274285	-1.460091	3.883143	-0.276246	16	Hybrid	1	1	0	2	0
N	4	-1.475360	3.906932	-0.290398	-1.475159	3.907330	-0.290383	-1.475560	3.906534	-0.290414	16	Hybrid	1	1	0	2	0
N	4	-1.392766	3.797347	-0.228752	-1.392475	3.797532	-0.228169	-1.393057	3.797161	-0.229335	16	In-direct	0	2	1	1	0
N	4	-1.299170	3.669150	-0.172058	-1.299170	3.669150	-0.172058	-1.299170	3.669150	-0.172058	16	In-direct	0	1	0	1	0
N	4	-1.300883	3.669068	-0.160072	-1.300883	3.669068	-0.160072	-1.300883	3.669068	-0.160072	16	Direct	1	0	0	1	0
N	4	-1.296640	3.664442	-0.157278	-1.296640	3.664442	-0.157278	-1.296640	3.664442	-0.157278	16	In-direct	0	1	0	1	0
N	4	-1.288039	3.651330	-0.150341	-1.288039	3.651330	-0.150341	-1.288039	3.651330	-0.150341	16	Direct	1	0	0	1	0
N	4	-1.196333	3.528132	-0.083690	-1.196333	3.528132	-0.083690	-1.196333	3.528132	-0.083690	16	In-direct	0	1	0	1	0
N	4	-1.461815	3.889945	-0.282618	-1.461815	3.889945	-0.282618	-1.461815	3.889945	-0.282618	16	In-direct	0	1	0	1	0
N	4	-1.457903	3.883018	-0.274840	-1.456848	3.883699	-0.274285	-1.458958	3.882338	-0.275395	16	In-direct	0	2	0	2	0
N	4	-1.458939	3.881061	-0.276641	-1.458939	3.881061	-0.276641	-1.458939	3.881061	-0.276641	16	Direct	1	0	0	1	0
N	4	-1.468949	3.898421	-0.285330	-1.468949	3.898421	-0.285330	-1.468949	3.898421	-0.285330	16	Direct	1	0	0	1	0
N	4	-1.473298	3.897903	-0.284483	-1.473298	3.897903	-0.284483	-1.473298	3.897903	-0.284483	16	In-direct	0	1	0	1	0
N	4	-1.466564	3.895182	-0.283556	-1.466564	3.895182	-0.283556	-1.466564	3.895182	-0.283556	16	Direct	1	0	0	1	0
N	4	-1.479851	3.908439	-0.292006	-1.479851	3.908439	-0.292006	-1.479851	3.908439	-0.292006	16	In-direct	0	1	0	1	0
N	4	-1.353135	3.740283	-0.198751	-1.353135	3.740283	-0.198751	-1.353135	3.740283	-0.198751	16	In-direct	0	1	0	1	0
N	4	-1.398567	3.802691	-0.232254	-1.398567	3.802691	-0.232254	-1.398567	3.802691	-0.232254	16	In-direct	0	1	0	1	0
N	4	-0.903048	3.117304	0.134678	-0.903048	3.117304	0.134678	-0.903048	3.117304	0.134678	16	Direct	1	0	0	1	0
N	4	-0.894594	3.113531	0.143851	-0.894594	3.113531	0.143851	-0.894594	3.113531	0.143851	16	In-direct	0	1	0	1	0
N	4	-0.898149	3.109606	0.144419	-0.898149	3.109606	0.144419	-0.898149	3.109606	0.144419	16	In-direct	0	1	0	1	0
N	4	-0.841678	3.034956	0.180006	-0.841678	3.034956	0.180006	-0.841678	3.034956	0.180006	16	In-direct	0	1	0	1	0
N	4	-0.847955	3.045874	0.175761	-0.847955	3.045874	0.175761	-0.847955	3.045874	0.175761	16	In-direct	0	1	0	1	0
N	4	-0.843934	3.043793	0.175330	-0.843934	3.043793	0.175330	-0.843934	3.043793	0.175330	16	In-direct	0	1	0	1	0
N	4	-0.836203	3.028951	0.183556	-0.836203	3.028951	0.183556	-0.836203	3.028951	0.183556	16	In-direct	0	1	0	1	0
N	4	0.907784	0.585234	1.415152	0.907894	0.585268	1.415304	0.907674	0.585201	1.415001	22	Direct	2	0	1	1	0
N	4	0.894824	0.606359	1.405472	0.894824	0.606359	1.405472	0.894824	0.606359	1.405472	22	In-direct	0	1	0	1	0
N	4	0.121730	1.680972	0.875881	0.122358	1.681230	0.877129	0.121102	1.680713	0.874633	24	Hybrid	1	3	0	4	1
N	4	-0.234102	2.178861	0.625331	-0.234047	2.179277	0.625767	-0.234157	2.178445	0.624896	24	Hybrid	1	1	0	2	1
N	4	-0.152329	2.065008	0.684366	-0.152200	2.065012	0.685049	-0.152459	2.065005	0.683684	24	Direct	2	0	0	2	1
N	4	-0.064741	1.945055	0.741245	-0.063842	1.945698	0.741270	-0.065640	1.944411	0.741220	24	Hybrid	1	1	0	2	1
N	4	0.117244	1.689335	0.871791	0.117837	1.689664	0.872390	0.116651	1.689006	0.871193	24	Direct	2	0	0	2	1
N	4	-0.154951	2.067891	0.682343	-0.154554	2.068349	0.682379	-0.155347	2.067433	0.682307	24	In-direct	0	2	0	2	0
N	4	-0.319597	2.299674	0.564242	-0.319582	2.300495	0.564793	-0.319612	2.298853	0.563690	24	In-direct	0	2	1	1	0
N	4	0.100086	1.711892	0.859560	0.100481	1.712439	0.859836	0.099691	1.711344	0.859284	24	Direct	2	0	1	1	0
N	4	-0.320795	2.302985	0.562700	-0.320795	2.302985	0.562700	-0.320795	2.302985	0.562700	24	Direct	1	0	0	1	0
N	4	-0.316265	2.295716	0.563766	-0.316265	2.295716	0.563766	-0.316265	2.295716	0.563766	24	In-direct	0	1	0	1	0
N	4	-0.514368	2.573944	0.423471	-0.514368	2.573944	0.423471	-0.514368	2.573944	0.423471	24	In-direct	0	1	0	1	0
N	4	-0.226163	2.167203	0.635163	-0.226163	2.167203	0.635163	-0.226163	2.167203	0.635163	24	In-direct	0	1	0	1	0
N	4	-0.236346	2.180488	0.622908	-0.236346	2.180488	0.622908	-0.236346	2.180488	0.622908	24	Direct	1	0	0	1	0
N	4	-0.237764	2.186504	0.627853	-0.237764	2.186504	0.627853	-0.237764	2.186504	0.627853	24	Direct	1	0	0	1	0
N	4	-0.151267	2.064167	0.685203	-0.150335	2.065005	0.685357	-0.152200	2.063329	0.685049	24	Hybrid	1	1	0	2	1
N	4	-0.147296	2.061812	0.687098	-0.147296	2.061812	0.687098	-0.147296	2.061812	0.687098	24	In-direct	0	1	0	1	0
N	4	-0.156109	2.067740	0.681479	-0.155347	2.068349	0.682379	-0.156870	2.067130	0.680579	24	Hybrid	1	1	0	2	0
N	4	-0.058977	1.933069	0.745841	-0.058977	1.933069	0.745841	-0.058977	1.933069	0.745841	24	In-direct	0	1	0	1	0
N	4	-0.062617	1.942280	0.742492	-0.062617	1.942280	0.742492	-0.062617	1.942280	0.742492	24	In-direct	0	1	0	1	0
N	4	-0.070887	1.944422	0.742137	-0.070887	1.944422	0.742137	-0.070887	1.944422	0.742137	24	In-direct	0	1	0	1	0
N	4	0.104660	1.707698	0.864257	0.104660	1.707698	0.864257	0.104660	1.707698	0.864257	24	In-direct	0	1	0	1	0
N	4	0.107108	1.702513	0.863440	0.107108	1.702513	0.863440	0.107108	1.702513	0.863440	24	Direct	1	0	0	1	0
N	4	0.095243	1.718610	0.856176	0.095243	1.718610	0.856176	0.095243	1.718610	0.856176	24	Direct	1	0	0	1	0
N	4	0.095716	1.714873	0.854501	0.095716	1.714873	0.854501	0.095716	1.714873	0.854501	24	In-direct	0	1	0	1	0
N	4	0.100860	1.710967	0.860419	0.101239	1.711344	0.861002	0.100481	1.710590	0.859836	24	Hybrid	1	1	1	1	0
N	4	0.442476	1.227549	1.099818	0.442476	1.227549	1.099818	0.442476	1.227549	1.099818	24	In-direct	0	1	0	1	0
N	4	0.442589	1.236374	1.096902	0.442589	1.236374	1.096902	0.442589	1.236374	1.096902	24	In-direct	0	1	0	1	0
N	4	0.450515	1.223075	1.106171	0.450515	1.223075	1.106171	0.450515	1.223075	1.106171	24	In-direct	0	1	0	1	0
N	4	0.316951	1.412005	1.010615	0.316951	1.412005	1.010615	0.316951	1.412005	1.010615	24	Direct	1	0	0	1	0
N	4	0.325094	1.400639	1.016229	0.325094	1.400639	1.016229	0.325094	1.400639	1.016229	24	Direct	1	0	0	1	0
N	4	0.324440	1.402253	1.012789	0.324440	1.402253	1.012789	0.324440	1.402253	1.012789	24	In-direct	0	1	0	1	0
N	4	0.322528	1.404987	1.012456	0.322528	1.404987	1.012456	0.322528	1.404987	1.012456	24	In-direct	0	1	0	1	0
N	4	0.318006	1.410312	1.012076	0.318006	1.410312	1.012076	0.318006	1.410312	1.012076	24	In-direct	0	1	0	1	0
N	4	-0.154528	2.065457	0.685743	-0.154528	2.065457	0.685743	-0.154528	2.065457	0.685743	24	In-direct	0	1	1	0	0
N	4	0.848989	0.667536	1.374936	0.849391	0.668104	1.375455	0.848587	0.666968	1.374417	25	Hybrid	1	2	0	3	1
N	4	0.836926	0.683149	1.367318	0.837062	0.683534	1.367842	0.836790	0.682765	1.366795	25	Hybrid	1	1	0	2	1
N	4	0.835648	0.684745	1.365833	0.835914	0.685103	1.366019	0.835381	0.684386	1.365648	25	Hybrid	1	1	0	2	0
N	4	0.843700	0.673712	1.371068	0.843863	0.673761	1.371215	0.843537	0.673664	1.370921	25	Hybrid	1	1	0	2	0
N	4	1.012272	0.441232	1.489088	1.012500	0.441473	1.489290	1.012045	0.440991	1.488886	25	Hybrid	1	1	0	2	0
N	4	1.008728	0.445998	1.484549	1.009344	0.446648	1.484611	1.008112	0.445347	1.484487	25	In-direct	0	2	0	2	0
N	4	1.014191	0.438519	1.489051	1.014714	0.438906	1.489538	1.013667	0.438132	1.488564	25	Direct	2	0	1	1	0
N	4	0.834351	0.688859	1.360616	0.834351	0.688859	1.360616	0.834351	0.688859	1.360616	25	In-direct	0	1	0	1	0
N	4	0.834674	0.687368	1.364839	0.834674	0.687368	1.364839	0.834674	0.687368	1.364839	25	Direct	1	0	0	1	0
N	4	0.843144	0.670112	1.370124	0.843144	0.670112	1.370124	0.843144	0.670112	1.370124	25	In-direct	0	1	0	1	0
N	4	0.737094	0.825465	1.296499	0.737094	0.825465	1.296499	0.737094	0.825465	1.296499	25	In-direct	0	1	0	1	0
N	4	0.813208	0.724867	1.338461	0.813208	0.724867	1.338461	0.813208	0.724867	1.338461	25	In-direct	0	1	0	1	0
N	4	0.985025	0.476937	1.468201	0.985025	0.476937	1.468201	0.985025	0.476937	1.468201	25	In-direct	0	1	0	1	0
N	4	0.983043	0.480030	1.466338	0.983043	0.480030	1.466338	0.983043	0.480030	1.466338	25	In-direct	0	1	0	1	0
N	4	0.975257	0.491870	1.461734	0.975257	0.491870	1.461734	0.975257	0.491870	1.461734	25	In-direct	0	1	0	1	0
N	4	1.015488	0.434046	1.494478	1.015488	0.434046	1.494478	1.015488	0.434046	1.494478	25	In-direct	0	1	0	1	0
N	4	1.005886	0.451099	1.482511	1.005886	0.451099	1.482511	1.005886	0.451099	1.482511	25	In-direct	0	1	0	1	0
N	4	1.007656	0.449371	1.479458	1.007656	0.449371	1.479458	1.007656	0.449371	1.479458	25	In-direct	0	1	0	1	0
N	4	1.369060	-0.034993	1.721361	1.369732	-0.034123	1.721522	1.368389	-0.035863	1.721200	26	Hybrid	3	1	0	4	1
N	4	1.359236	-0.021843	1.714693	1.359952	-0.020925	1.715036	1.358521	-0.022762	1.714349	26	Direct	4	0	0	4	1
N	4	1.302535	0.053446	1.678344	1.302943	0.053886	1.678477	1.302126	0.053006	1.678211	26	In-direct	0	2	0	2	0
N	4	1.293126	0.067826	1.670600	1.293126	0.067826	1.670600	1.293126	0.067826	1.670600	26	Direct	1	0	0	1	0
N	4	1.288606	0.060349	1.675457	1.288606	0.060349	1.675457	1.288606	0.060349	1.675457	26	In-direct	0	1	0	1	0
N	4	1.290988	0.067611	1.672604	1.290988	0.067611	1.672604	1.290988	0.067611	1.672604	26	In-direct	0	1	0	1	0
N	4	1.294350	0.063459	1.675579	1.294350	0.063459	1.675579	1.294350	0.063459	1.675579	26	In-direct	0	1	0	1	0
N	4	1.308072	0.045979	1.682066	1.308072	0.045979	1.682066	1.308072	0.045979	1.682066	26	Direct	1	0	0	1	0
N	4	1.365679	-0.032799	1.713476	1.365679	-0.032799	1.713476	1.365679	-0.032799	1.713476	26	In-direct	0	1	0	1	0
N	4	1.360673	-0.024117	1.714563	1.360673	-0.024117	1.714563	1.360673	-0.024117	1.714563	26	In-direct	0	1	0	1	0
N	4	1.368845	-0.035079	1.720610	1.369606	-0.034296	1.721505	1.368084	-0.035863	1.719714	26	Hybrid	1	2	0	3	1
N	4	1.304532	0.049954	1.677176	1.304532	0.049954	1.677176	1.304532	0.049954	1.677176	26	In-direct	0	1	1	0	0
N	4	1.638885	-0.394872	1.896518	1.639132	-0.394254	1.896741	1.638638	-0.395490	1.896295	27	Hybrid	2	1	0	3	1
N	4	1.641146	-0.395300	1.898243	1.641625	-0.395042	1.898426	1.640667	-0.395558	1.898060	27	Hybrid	1	2	0	3	1
N	4	1.760640	-0.554562	1.974068	1.761271	-0.553743	1.975206	1.760009	-0.555380	1.972930	27	Hybrid	2	1	1	2	1
N	4	1.771101	-0.568026	1.981940	1.771804	-0.567084	1.981995	1.770399	-0.568967	1.981884	27	Hybrid	1	1	0	2	1
N	4	1.644836	-0.401464	1.900257	1.645272	-0.400976	1.900665	1.644400	-0.401952	1.899848	27	In-direct	0	2	0	2	1
N	4	1.741769	-0.530184	1.962661	1.742030	-0.530007	1.963002	1.741508	-0.530362	1.962320	27	Hybrid	1	1	0	2	1
N	4	1.735786	-0.522614	1.958076	1.736646	-0.522496	1.958209	1.734926	-0.522733	1.957942	27	In-direct	0	2	0	2	1
N	4	1.740603	-0.525122	1.962488	1.740789	-0.524933	1.962494	1.740418	-0.525310	1.962483	27	Direct	2	0	0	2	1
N	4	1.650869	-0.408860	1.903073	1.651155	-0.408828	1.903254	1.650583	-0.408892	1.902891	27	Hybrid	1	1	0	2	0
N	4	1.774504	-0.572559	1.983361	1.774504	-0.572559	1.983361	1.774504	-0.572559	1.983361	27	In-direct	0	1	0	1	0
N	4	1.775494	-0.574792	1.989130	1.775494	-0.574792	1.989130	1.775494	-0.574792	1.989130	27	In-direct	0	1	0	1	0
N	4	1.653145	-0.415991	1.909262	1.653145	-0.415991	1.909262	1.653145	-0.415991	1.909262	27	In-direct	0	1	0	1	0
N	4	1.635551	-0.394386	1.903797	1.635551	-0.394386	1.903797	1.635551	-0.394386	1.903797	27	Direct	1	0	0	1	0
N	4	1.747637	-0.533209	1.965316	1.747637	-0.533209	1.965316	1.747637	-0.533209	1.965316	27	In-direct	0	1	0	1	0
N	4	1.745814	-0.535664	1.963815	1.745814	-0.535664	1.963815	1.745814	-0.535664	1.963815	27	In-direct	0	1	0	1	0
N	4	1.733721	-0.522159	1.957708	1.734926	-0.521584	1.958209	1.732516	-0.522733	1.957206	27	In-direct	0	2	0	2	1
N	4	1.738073	-0.526432	1.960144	1.738073	-0.526432	1.960144	1.738073	-0.526432	1.960144	27	In-direct	0	1	0	1	0
N	4	1.724561	-0.507511	1.951771	1.724561	-0.507511	1.951771	1.724561	-0.507511	1.951771	27	Direct	1	0	0	1	0
N	4	1.728930	-0.517213	1.956260	1.728930	-0.517213	1.956260	1.728930	-0.517213	1.956260	27	In-direct	0	1	0	1	0
N	4	1.743585	-0.532451	1.964024	1.743585	-0.532451	1.964024	1.743585	-0.532451	1.964024	27	In-direct	0	1	1	0	0
N	4	1.747634	-0.536416	1.962890	1.747634	-0.536416	1.962890	1.747634	-0.536416	1.962890	27	In-direct	0	1	1	0	0
N	4	2.405284	-1.302859	2.381869	2.405744	-1.302685	2.382647	2.404824	-1.303033	2.381091	32	In-direct	0	3	0	3	1
N	4	2.403650	-1.295181	2.376545	2.404263	-1.294778	2.377342	2.403037	-1.295585	2.375748	32	Hybrid	2	1	0	3	1
N	4	2.270154	-1.147810	2.292019	2.270412	-1.147090	2.292519	2.269897	-1.148530	2.291520	32	In-direct	0	2	0	2	0
N	4	2.183717	-1.048676	2.238795	2.183717	-1.048676	2.238795	2.183717	-1.048676	2.238795	32	Direct	1	0	0	1	0
N	4	2.189206	-1.051732	2.236644	2.189206	-1.051732	2.236644	2.189206	-1.051732	2.236644	32	In-direct	0	1	0	1	0
N	4	2.197177	-1.059432	2.246467	2.197177	-1.059432	2.246467	2.197177	-1.059432	2.246467	32	Direct	1	0	0	1	0
N	4	2.195116	-1.061303	2.245766	2.195116	-1.061303	2.245766	2.195116	-1.061303	2.245766	32	In-direct	0	1	0	1	0
N	4	2.266138	-1.140089	2.287969	2.266138	-1.140089	2.287969	2.266138	-1.140089	2.287969	32	In-direct	0	1	0	1	0
N	4	2.272103	-1.153288	2.288853	2.272103	-1.153288	2.288853	2.272103	-1.153288	2.288853	32	In-direct	0	1	0	1	0
N	4	2.273937	-1.152068	2.296743	2.273937	-1.152068	2.296743	2.273937	-1.152068	2.296743	32	In-direct	0	1	0	1	0
N	4	2.407079	-1.296504	2.371834	2.407079	-1.296504	2.371834	2.407079	-1.296504	2.371834	32	In-direct	0	1	0	1	0
